region,year,cost_price_per_centner_milk_enterprises_manat,cost_price_per_centner_milk_private_manat,cows_dairy_buffaloes_stock_heads,cows_heads,fodder_sown_area_ha,labour_hours_per_centner_milk_enterprises,milk_production_tons,profitability_milk_enterprises_pct,profitability_milk_private_pct,selling_price_per_centner_milk_enterprises_manat,selling_price_per_centner_milk_private_manat
Guba-Khachmaz economic region,2011,36.09,28.02,88843.0,85425.0,9609.0,48.0,123095.0,10.2,64.3,36.8,47.6
Guba-Khachmaz economic region,2012,33.85,34.46,89003.0,85749.0,9219.0,48.3,126398.0,25.0,76.3,39.75,61.9
Guba-Khachmaz economic region,2013,18.76,34.71,88332.0,85246.0,8694.0,48.0,130782.0,,89.8,44.0,68.0
Guba-Khachmaz economic region,2014,53.79,38.94,87592.0,84755.0,9019.0,48.0,137712.0,,80.1,50.06,70.06
Guba-Khachmaz economic region,2015,43.72,40.45,89351.0,86494.0,10005.0,48.0,142356.0,2.9,66.4,45.9,67.17
Guba-Khachmaz economic region,2016,67.32,46.85,87738.0,85039.0,10783.0,51.5,146404.0,,58.6,49.96,74.51
Guba-Khachmaz economic region,2017,52.06,42.49,87715.0,85088.0,11284.0,46.1,154157.0,3.1,64.8,64.95,70.0
Guba-Khachmaz economic region,2018,61.32,58.31,87711.0,85136.0,11542.0,20.1,161331.0,,20.0,59.84,70.0
Guba-Khachmaz economic region,2019,59.94,52.61,87689.0,85325.0,12090.0,15.1,168274.0,8.8,32.6,94.01,70.0
Guba-Khachmaz economic region,2020,43.39,41.39,88834.0,86545.0,12420.0,18.6,173840.0,21.1,69.3,60.5,70.0
Guba-Khachmaz economic region,2021,65.06,47.16,88550.0,86215.0,10326.5,30.8,177757.0,13.6,114.3,68.59,88.42
Guba-Khachmaz economic region,2022,74.71,65.31,86063.0,84006.0,8995.1,37.7,183039.0,23.0,23.6,85.55,80.69
Guba-Khachmaz economic region,2023,64.04,40.96,84541.0,82664.0,7917.5,37.8,186342.0,14.6,120.0,84.86,95.56
Guba-Khachmaz economic region,2024,66.26,18.09,81543.0,79875.0,6698.7,36.2,187544.0,8.8,,72.26,
Karabakh economic region,2000,,,86929.0,73022.0,23709.0,,97768.0,,,,
Karabakh economic region,2001,,,91768.0,77185.0,28303.0,,103756.0,,,,
Karabakh economic region,2002,,,100018.0,84516.0,34898.0,,106035.0,,,,
Karabakh economic region,2003,,,103509.0,88014.0,41802.0,,112229.0,,,,
Karabakh economic region,2004,,,107415.0,92121.0,44308.0,,123799.0,,,,
Karabakh economic region,2005,20.55,10.5,108712.0,93443.0,46639.0,47.8,129705.0,,66.7,30.0,20.0
Karabakh economic region,2006,,,112037.0,97375.0,52841.0,,133539.0,,,,
Karabakh economic region,2007,,,116922.0,102732.0,71834.0,,137699.0,,,,
Karabakh economic region,2008,21.32,13.85,119471.0,105735.0,79977.0,46.9,140767.0,,31.5,27.51,18.71
Karabakh economic region,2009,19.07,31.03,121902.0,108442.0,73470.0,48.0,145051.0,,-41.7,31.45,38.46
Karabakh economic region,2010,28.72,20.91,123646.0,110138.0,88600.0,48.8,149211.0,,41.8,44.88,21.1
Karabakh economic region,2011,52.84,15.56,125067.0,112531.0,87910.0,53.8,154443.0,,19.5,47.97,30.0
Karabakh economic region,2012,31.83,22.97,129998.0,117398.0,82239.0,48.0,160988.0,,22.3,44.07,
Karabakh economic region,2013,38.52,15.56,133169.0,120584.0,84310.0,48.0,186251.0,,19.5,39.78,30.0
Karabakh economic region,2014,32.77,,134939.0,122565.0,86917.0,48.0,205493.0,16.1,,45.95,
Karabakh economic region,2015,28.38,,135763.0,123585.0,94755.0,48.0,238585.0,30.6,,49.69,
Karabakh economic region,2016,28.63,,137529.0,125650.0,85672.0,48.1,268167.0,30.1,,49.87,
Karabakh economic region,2017,48.84,,137894.0,126989.0,72716.0,48.2,271650.0,30.4,,45.34,
Karabakh economic region,2018,49.59,,139011.0,128712.0,68634.0,47.4,277061.0,33.0,,45.62,
Karabakh economic region,2019,35.03,,137001.0,129415.0,73851.0,47.0,300960.0,23.7,,45.64,
Karabakh economic region,2020,23.76,14.86,136599.0,129415.0,78470.5,8.1,311817.0,144.2,102.2,42.9,30.0
Karabakh economic region,2021,31.18,24.33,139405.0,132778.0,81025.3,9.5,311007.0,45.5,100.0,48.7,30.0
Karabakh economic region,2022,35.64,,146586.0,140462.0,80361.3,13.5,332638.0,36.4,,35.05,
Karabakh economic region,2023,40.35,,150605.0,144904.0,70615.5,15.7,355906.0,46.6,,65.87,
Karabakh economic region,2024,33.33,,160440.0,155333.0,74049.5,17.9,372166.0,102.4,,65.97,
Lankaran-Astara economic region,2000,,,118199.0,111860.0,115.0,,130900.0,,,,
Lankaran-Astara economic region,2001,,,122946.0,116486.0,347.0,,135892.0,,,,
Lankaran-Astara economic region,2002,,,126930.0,120296.0,34.0,,136563.0,,,,
Lankaran-Astara economic region,2003,,,133846.0,126910.0,418.0,,147940.0,,,,
Lankaran-Astara economic region,2004,,,142470.0,135499.0,806.0,,149392.0,,,,
Lankaran-Astara economic region,2005,17.81,13.42,145303.0,138439.0,834.0,47.8,156945.0,8.4,9.5,18.76,15.26
Lankaran-Astara economic region,2006,,,150383.0,143536.0,1286.0,,159156.0,,,,
Lankaran-Astara economic region,2007,,,153392.0,146357.0,1149.0,,161676.0,,,,
Lankaran-Astara economic region,2008,23.59,19.74,157393.0,150035.0,1295.0,45.5,163766.0,14.4,22.9,31.36,29.75
Lankaran-Astara economic region,2009,23.56,21.3,158596.0,151313.0,2209.0,42.5,167571.0,4.8,5.2,35.61,22.17
Lankaran-Astara economic region,2010,19.54,23.39,159085.0,152218.0,3841.0,48.1,169280.0,3.6,6.8,24.9,24.3
Lankaran-Astara economic region,2011,32.02,22.53,160659.0,154138.0,3481.0,47.9,175913.0,15.6,14.9,42.8,26.8
Lankaran-Astara economic region,2012,33.91,22.03,162581.0,156218.0,2996.0,48.7,204232.0,8.7,2.8,41.95,31.6
Lankaran-Astara economic region,2013,27.26,27.65,163729.0,157327.0,3940.0,48.0,217764.0,4.4,4.7,39.5,26.6
Lankaran-Astara economic region,2014,33.6,23.32,164030.0,158027.0,3720.0,48.1,221341.0,7.3,4.7,40.8,41.89
Lankaran-Astara economic region,2015,34.69,22.67,164222.0,158485.0,3632.0,48.6,227945.0,6.8,4.0,42.93,40.93
Lankaran-Astara economic region,2016,37.72,30.48,164257.0,159267.0,4454.0,48.2,229027.0,8.2,15.8,48.13,43.78
Lankaran-Astara economic region,2017,41.21,27.87,161448.0,157624.0,6421.0,48.5,229580.0,9.1,16.1,49.22,44.31
Lankaran-Astara economic region,2018,39.57,24.21,160804.0,157444.0,4841.0,47.6,223784.0,14.4,14.2,47.19,66.32
Lankaran-Astara economic region,2019,34.09,41.19,161083.0,157853.0,5278.0,38.5,235410.0,20.0,6.3,46.8,45.4
Lankaran-Astara economic region,2020,35.03,42.01,161458.0,158427.0,5302.8,28.9,233786.0,19.4,13.5,46.61,68.1
Lankaran-Astara economic region,2021,36.02,39.68,161663.0,158869.0,5815.3,30.4,234603.0,17.9,19.4,46.86,68.21
Lankaran-Astara economic region,2022,37.24,47.38,163911.0,161043.0,5231.4,29.7,235662.0,22.3,12.9,49.5,76.33
Lankaran-Astara economic region,2023,36.05,47.76,161190.0,158448.0,5039.9,29.1,240514.0,19.1,19.8,57.98,88.1
Lankaran-Astara economic region,2024,39.12,48.11,159655.0,156652.0,5253.7,26.0,243723.0,17.0,23.3,65.08,96.99
Mil-Mughan economic region,2000,,,99922.0,82388.0,31242.0,,113467.0,,,,
Mil-Mughan economic region,2001,,,107687.0,88470.0,37686.0,,115344.0,,,,
Mil-Mughan economic region,2002,,,112609.0,93627.0,40786.0,,120688.0,,,,
Mil-Mughan economic region,2003,,,118447.0,99186.0,47079.0,,124260.0,,,,
Mil-Mughan economic region,2004,,,123889.0,104040.0,46926.0,,135226.0,,,,
Mil-Mughan economic region,2005,13.58,12.62,128316.0,109042.0,46413.0,48.5,141401.0,,42.0,16.25,16.34
Mil-Mughan economic region,2006,,,133139.0,113879.0,51866.0,,148519.0,,,,
Mil-Mughan economic region,2007,,,139272.0,119771.0,64789.0,,156023.0,,,,
Mil-Mughan economic region,2008,30.36,24.68,143239.0,124735.0,73874.0,44.1,164246.0,,66.2,28.39,36.96
Mil-Mughan economic region,2009,31.25,25.63,147196.0,128596.0,76928.0,47.6,179085.0,,31.6,30.97,31.25
Mil-Mughan economic region,2010,30.62,27.37,149601.0,131323.0,73919.0,47.6,191130.0,,27.7,31.4,31.58
Mil-Mughan economic region,2011,29.32,28.81,151374.0,133497.0,84716.0,48.0,197998.0,,26.1,31.3,32.63
Mil-Mughan economic region,2012,32.79,31.71,153494.0,136294.0,89054.0,48.0,205419.0,,6.2,34.34,34.03
Mil-Mughan economic region,2013,34.4,31.85,155135.0,138391.0,89315.0,48.0,213274.0,,17.6,48.07,41.08
Mil-Mughan economic region,2014,38.18,27.11,156113.0,139587.0,85303.0,48.1,218273.0,19.0,24.8,47.52,39.85
Mil-Mughan economic region,2015,38.42,30.24,158196.0,142751.0,91829.0,48.2,224501.0,21.6,27.8,47.78,40.99
Mil-Mughan economic region,2016,37.5,30.78,159707.0,144730.0,81494.0,52.5,231490.0,18.4,30.2,48.95,39.72
Mil-Mughan economic region,2017,37.84,28.88,160850.0,148052.0,71972.0,48.6,234808.0,18.0,32.7,51.24,46.84
Mil-Mughan economic region,2018,32.29,29.04,161849.0,153312.0,70755.0,47.0,245100.0,24.8,24.1,45.19,48.29
Mil-Mughan economic region,2019,25.76,32.87,162612.0,155367.0,76770.0,33.3,250430.0,26.6,15.9,59.86,50.0
Mil-Mughan economic region,2020,26.34,30.72,163042.0,157570.0,76641.6,33.9,250751.0,52.2,16.9,59.37,50.0
Mil-Mughan economic region,2021,28.74,31.48,163583.0,159295.0,81035.3,34.9,253922.0,54.8,15.9,66.13,50.0
Mil-Mughan economic region,2022,29.57,29.66,165856.0,161796.0,84937.1,33.1,255719.0,51.7,14.8,66.41,51.03
Mil-Mughan economic region,2023,50.4,27.96,165392.0,161391.0,77528.2,40.7,256650.0,26.1,15.8,77.07,50.0
Mil-Mughan economic region,2024,57.8,28.07,165313.0,162495.0,80453.5,40.5,262035.0,35.9,19.3,94.76,51.52
Nakhchivan Autonomous Republic,2000,,,43411.0,41352.0,10669.0,,54248.0,,,,
Nakhchivan Autonomous Republic,2001,,,44959.0,42926.0,11178.0,,55268.0,,,,
Nakhchivan Autonomous Republic,2002,,,46108.0,44017.0,11400.0,,58863.0,,,,
Nakhchivan Autonomous Republic,2003,,,47717.0,45781.0,11100.0,,58527.0,,,,
Nakhchivan Autonomous Republic,2004,,,48919.0,47649.0,9818.0,,62691.0,,,,
Nakhchivan Autonomous Republic,2005,13.5,12.55,51116.0,49834.0,9767.0,41.2,64818.0,77.3,100.5,24.03,26.55
Nakhchivan Autonomous Republic,2006,,,55191.0,53941.0,9759.0,,67865.0,,,,
Nakhchivan Autonomous Republic,2007,,,55603.0,54414.0,10111.0,,70254.0,,,,
Nakhchivan Autonomous Republic,2008,26.09,19.67,56429.0,55237.0,11143.0,48.0,72042.0,85.2,,50.22,55.98
Nakhchivan Autonomous Republic,2009,29.59,20.23,57394.0,56175.0,9863.0,49.9,73929.0,47.8,84.2,42.67,35.0
Nakhchivan Autonomous Republic,2010,41.31,17.36,58408.0,57079.0,8942.0,47.7,75965.0,100.0,,59.1,90.4
Nakhchivan Autonomous Republic,2011,48.29,16.15,59179.0,57833.0,8701.0,48.0,77120.0,50.5,190.8,53.9,71.1
Nakhchivan Autonomous Republic,2012,46.41,15.33,60125.0,58614.0,10088.0,45.6,78417.0,12.4,89.8,59.56,66.1
Nakhchivan Autonomous Republic,2013,30.78,13.42,60759.0,59225.0,9652.0,47.0,78613.0,11.6,87.8,73.5,56.6
Nakhchivan Autonomous Republic,2014,28.57,18.14,61423.0,59867.0,9824.0,48.0,78929.0,9.8,207.0,78.62,69.94
Nakhchivan Autonomous Republic,2015,29.25,18.38,62262.0,60567.0,9859.0,48.0,80244.0,10.1,191.7,78.11,62.26
Nakhchivan Autonomous Republic,2016,27.17,24.47,62984.0,61228.0,13815.0,48.0,81372.0,4.0,116.4,79.32,62.96
Nakhchivan Autonomous Republic,2017,29.76,27.32,64255.0,61949.0,13676.0,48.0,82857.0,29.0,97.6,100.0,58.33
Nakhchivan Autonomous Republic,2018,36.2,27.0,65011.0,62642.0,13636.0,48.0,83967.0,29.9,100.1,100.0,56.47
Nakhchivan Autonomous Republic,2019,37.05,25.48,65929.0,63481.0,13917.0,48.0,85638.0,29.9,135.1,100.0,61.13
Nakhchivan Autonomous Republic,2020,75.76,25.56,67030.0,64473.0,12871.9,48.0,87334.0,29.9,140.0,100.0,60.0
Nakhchivan Autonomous Republic,2021,67.48,26.19,67873.0,65245.0,16038.6,48.0,88565.0,35.6,159.3,93.98,70.0
Nakhchivan Autonomous Republic,2022,44.94,26.09,68684.0,66022.0,16018.0,48.3,89853.0,79.9,180.0,85.55,70.0
Nakhchivan Autonomous Republic,2023,77.06,,33489.0,32503.0,15270.0,48.5,62234.0,47.0,,99.46,
Nakhchivan Autonomous Republic,2024,73.16,,33179.0,32298.0,14712.8,48.3,63246.0,45.4,,103.2,
Shaki-Zagatala economic region,2000,,,120177.0,96532.0,13706.0,,121143.0,,,,
Shaki-Zagatala economic region,2001,,,122559.0,99446.0,6819.0,,122360.0,,,,
Shaki-Zagatala economic region,2002,,,122311.0,99897.0,8013.0,,133090.0,,,,
Shaki-Zagatala economic region,2003,,,121517.0,99794.0,9384.0,,133755.0,,,,
Shaki-Zagatala economic region,2004,,,122398.0,100545.0,10777.0,,135010.0,,,,
Shaki-Zagatala economic region,2005,23.21,13.98,125323.0,103871.0,11568.0,47.5,135753.0,20.2,36.3,30.62,19.57
Shaki-Zagatala economic region,2006,,,127779.0,107101.0,12975.0,,139956.0,,,,
Shaki-Zagatala economic region,2007,,,131033.0,111015.0,17895.0,,142364.0,,,,
Shaki-Zagatala economic region,2008,33.37,31.7,133315.0,114091.0,23017.0,46.6,150496.0,30.8,67.8,48.56,53.58
Shaki-Zagatala economic region,2009,33.84,33.53,135983.0,117357.0,27126.0,47.8,152121.0,22.0,67.9,50.15,58.78
Shaki-Zagatala economic region,2010,34.77,34.88,137368.0,119314.0,25988.0,45.7,158500.0,26.8,58.4,49.8,59.8
Shaki-Zagatala economic region,2011,32.39,40.51,137871.0,120285.0,27188.0,47.8,160071.0,59.6,57.6,57.2,62.5
Shaki-Zagatala economic region,2012,40.51,38.35,138647.0,121508.0,24461.0,48.0,170646.0,23.0,61.2,52.11,63.1
Shaki-Zagatala economic region,2013,51.69,39.33,140860.0,124317.0,23551.0,48.0,184212.0,9.4,55.6,56.8,63.9
Shaki-Zagatala economic region,2014,33.26,40.02,133914.0,118927.0,23885.0,44.0,189649.0,19.9,54.5,49.74,65.35
Shaki-Zagatala economic region,2015,48.68,30.8,132820.0,118635.0,26461.0,45.3,187959.0,2.9,70.0,49.01,67.73
Shaki-Zagatala economic region,2016,44.79,2.28,130741.0,118003.0,25162.0,27.2,191746.0,11.6,60.6,53.77,68.23
Shaki-Zagatala economic region,2017,51.13,39.81,129166.0,116868.0,22717.0,26.1,194924.0,16.9,74.1,63.02,69.68
Shaki-Zagatala economic region,2018,51.44,39.98,128046.0,116658.0,21277.0,15.9,195570.0,30.3,50.9,67.51,60.35
Shaki-Zagatala economic region,2019,53.05,41.12,127921.0,117363.0,21566.0,14.2,194928.0,11.5,29.3,67.85,61.97
Shaki-Zagatala economic region,2020,29.09,42.85,126941.0,116898.0,20294.7,38.3,197818.0,64.5,48.2,71.43,70.96
Shaki-Zagatala economic region,2021,35.48,41.99,123093.0,114254.0,19715.5,52.3,198762.0,14.1,47.5,65.51,66.19
Shaki-Zagatala economic region,2022,50.56,40.65,115928.0,107843.0,19171.2,53.5,191389.0,19.9,30.9,75.3,57.22
Shaki-Zagatala economic region,2023,51.35,49.39,109352.0,102459.0,18929.3,50.7,191191.0,22.7,28.3,82.57,87.59
Shaki-Zagatala economic region,2024,49.16,88.58,105656.0,99219.0,18967.8,48.5,191613.0,23.7,22.2,85.57,110.0
Shirvan-Salyan economic region,2000,,,67452.0,58116.0,14779.0,,73925.0,,,,
Shirvan-Salyan economic region,2001,,,68894.0,59709.0,13898.0,,70953.0,,,,
Shirvan-Salyan economic region,2002,,,72606.0,63085.0,15060.0,,77041.0,,,,
Shirvan-Salyan economic region,2003,,,74824.0,65863.0,19533.0,,76558.0,,,,
Shirvan-Salyan economic region,2004,,,76478.0,67278.0,23614.0,,78430.0,,,,
Shirvan-Salyan economic region,2005,21.59,15.12,79054.0,70584.0,22634.0,48.9,79590.0,,24.6,24.48,18.55
Shirvan-Salyan economic region,2006,,,80180.0,72309.0,25537.0,,82321.0,,,,
Shirvan-Salyan economic region,2007,,,83947.0,76233.0,32497.0,,87146.0,,,,
Shirvan-Salyan economic region,2008,23.38,22.45,86070.0,78368.0,38965.0,49.0,88837.0,,65.9,36.45,37.75
Shirvan-Salyan economic region,2009,22.3,22.39,87172.0,79849.0,39528.0,48.5,96603.0,,53.825,35.26,40.08
Shirvan-Salyan economic region,2010,28.06,23.22,89127.0,81937.0,38683.0,48.4,98858.0,,56.2,40.37,38.78
Shirvan-Salyan economic region,2011,34.33,22.15,88028.0,80792.0,41002.0,48.0,102983.0,,67.8,33.0,39.28
Shirvan-Salyan economic region,2012,37.85,31.43,89139.0,81923.0,44062.0,48.0,109832.0,,65.2,41.39,48.63
Shirvan-Salyan economic region,2013,43.44,31.27,90395.0,83680.0,42622.0,48.2,114695.0,,79.5,43.97,50.2
Shirvan-Salyan economic region,2014,41.87,18.01,91250.0,84888.0,46669.0,47.7,114984.0,16.2,114.8,50.45,43.82
Shirvan-Salyan economic region,2015,28.1,19.45,91930.0,85841.0,48018.0,47.8,116127.0,49.6,100.0,46.13,50.66
Shirvan-Salyan economic region,2016,35.75,18.29,92224.0,86236.0,41534.0,47.9,116017.0,28.4,106.0,46.97,48.25
Shirvan-Salyan economic region,2017,44.45,22.94,91530.0,86714.0,36488.0,47.8,116983.0,49.0,71.5,48.99,36.32
Shirvan-Salyan economic region,2018,24.39,24.94,91303.0,86893.0,36726.0,47.1,124203.0,88.8,92.4,49.19,54.43
Shirvan-Salyan economic region,2019,23.28,16.95,90038.0,86059.0,40972.0,47.0,130066.0,67.5,99.6,43.14,49.84
Shirvan-Salyan economic region,2020,31.09,49.43,90214.0,86527.0,43025.9,47.3,138047.0,50.4,44.7,50.96,64.78
Shirvan-Salyan economic region,2021,39.96,29.88,91482.0,88222.0,43163.6,47.2,139006.0,15.1,53.7,69.22,72.96
Shirvan-Salyan economic region,2022,33.03,34.76,91380.0,88342.0,38215.6,47.1,139142.0,49.8,56.3,71.04,80.06
Shirvan-Salyan economic region,2023,31.24,36.72,94009.0,91235.0,35783.3,47.1,137977.0,47.8,55.6,75.04,84.13
Shirvan-Salyan economic region,2024,27.11,35.55,93418.0,91275.0,36459.6,45.6,141961.0,73.5,44.3,63.04,89.27
